detention_facility_code,detention_facility,address,state,aor,type,operator,note
AKGSCCC,GOOSE CREEK CORRECTIONAL CENTER,"22301 Alsop Rd, Wasilla, AK 99654",AK,SEA,STATE PRISON,,
MOAHOLD,MOBILE HOLDROOM,"Mobile, AL",AL,,HOLD,,
PCKNSAL,PICKENS COUNTY DET CTR,"188 Cemetery St, Carrollton, AL 35447",AL,NOL,IGSA,,
BIMDCAZ,BANNER IRONWOOD MED CTR,"37000 N Gantzel Rd, Queen Creek, AZ 85140",AZ,PHO,HEALTH,,
BNMCTAZ,BANNER MEDICAL CTR TUCSON,"1625 N Campbell Ave, Tucson, AZ 85719",AZ,PHO,HEALTH,,
BANHOAZ,BANNER UNIVERSITY MEDICAL PHOENIX,"1111 E McDowell Rd, Phoenix, AZ 85006",AZ,PHO,HEALTH,,
CHANRAZ,CHANDLER REG MED CTR,"1955 W Frye Rd, Chandler, AZ 85224",AZ,PHO,HEALTH,,
FLORHAZ,FLORENCE HOSPITAL,"4545 N Hunt Hwy, Florence, AZ 85132",AZ,PHO,HEALTH,,HonorHealth Florence Medical Center
LPZRHAZ,LA PAZ REGIONAL HOSPITAL,"1200 Mohave Rd, Parker, AZ 85344",AZ,PHO,HEALTH,,
MVMCMAZ,MOUNTAIN VISTA MED CTR,"1301 S Crismon Rd, Mesa, AZ 85209",AZ,PHO,HEALTH,,
KPCHOAZ,PROMISE HOSPITAL,"433 E 6th St, Mesa, AZ 85203",AZ,PHO,HEALTH,,
VWHMCAZ,VALLEYWISE HEALTH MED CTR,"2601 E Roosevelt St, Phoenix, AZ 85008",AZ,PHO,HEALTH,,
YRMDCAZ,YUMA REGIONAL MED CTR,"2400 S Avenue A, Yuma, AZ 85364",AZ,PHO,HEALTH,,Onvida Health
ADVHBCA,ADVENTIST HEALTH BAKERSFIELD,"2615 Chester Ave, Bakersfield, CA 93301",CA,,HEALTH,,
ADVHDCA,ADVENTIST HEALTH DELANO,"1401 Garces Hwy, Delano, CA 93215",CA,,HEALTH,,
CVANXCA,CENTRAL VALLEY ANNEX,"254 Taylor Avenue, McFarland, CA 93250 ",CA,,,GEO Group,
CRMCFCA,COMMUNITY REG MED CENTER,"2823 Fresno St, Fresno, CA 93721",CA,,HEALTH,,
CADESVI,DESERT VIEW ANNEX,"10450 Rancho Road, Adelanto, CA 92301",CA,,,,
ECRMCCA,EL CENTRO REGIONAL MED CTR,"1415 Ross Ave, El Centro, CA 92243",CA,,HEALTH,,
GLDSACA,GOLDEN STATE ANNEX,"611 Frontage Road, McFarland, CA 93250",CA,,,,
IMPHOLD,IMPERIAL SUB OFFICE HOLD ROOM,"2051 North Waterman Avenue, Suite 101, El Centro, CA 92243",CA,,HOLD,,
KERNHCA,KERN MEDICAL HOSPITAL,"1700 Mount Vernon Ave, Bakersfield, CA 93306",CA,,HEALTH,,
MEHOSCA,MERCY HOSP DOWNTOWN BAKERSFIELD,"2215 Truxtun Ave, Bakersfield, CA 93301",CA,,HEALTH,,
MEMCRCA,MERCY MEDICAL CTR REDDING,"2175 Rosaline Ave, Redding, CA 96001",CA,,HEALTH,,
PVLYHCA,PARADISE VALLEY HOSPITAL,"2400 E 4th St, National City, CA 91950",CA,,HEALTH,,
SMAHOLD,SANTA MARIA SUB OFFICE ERO,"740 West Century Street, Suite A, Santa Maria, CA 93455",CA,,HOLD,,
SCVMCCA,SHARP CHULA VISTA MEDICAL CENTER,"751 Medical Center Ct, Chula Vista, CA 91911",CA,,HEALTH,,
UCSDMCA,UC SAN DIEGO MEDICAL CENTER,"4520 Executive Dr, San Diego, CA 92121",CA,,HEALTH,,
BIINCCO,"BI INCORORATED, GEO GROUP COMPANY","6265 Gunbarrel Avenue Suite B, Boulder, Colorado 80301",CO,DEN,OTHER,,BI Incorporated is GEO subsidiary that does electronic monitoring; address per corporate website
HGHBECO,HIGHLANDS BEHAVIORAL HEALTH,"8565 Poplar Way, Littleton, CO 80130",CO,DEN,HEALTH,,
STJOSCO,SAINT JOSEPH HOSPITAL,"1375 E 19th Ave, Denver, CO 80218",CO,DEN,HEALTH,,
UCHUHCO,UCHEALTH UNV HOSP OF CO,"12605 E 16th Ave, Aurora, CO 80045",CO,DEN,HEALTH,,
BRDFDFL,BRADFORD COUNTY JAIL,"A, 2110, 945 N Temple Ave, Starke, FL 32091",FL,MIA,IGSA,,
FLCHACI,"CHARLOTTE CI, PUNTA GORDA","33123 Oil Well Rd, Punta Gorda, FL 33955",FL,MIA,STATE PRISON,,
COLUMFL,COLUMBIA COUNTY JAIL,"389 NW Quinten St, Lake City, FL 32055",FL,MIA,IGSA,,
FLGLRFL,FLAGLER COUNTY JAIL,"1002 Justice Ln, Bunnell, FL 32110",FL,MIA,IGSA,,
FLBHCFL,FT LAUDERDALE BEHAVOR HLTH CTR,"5757 N Dixie Hwy, Oakland Park, FL 33334",FL,MIA,HEALTH,,
HCAFMFL,HCA FLORIDA MEMORIAL HOSPITAL,"3625 University Blvd S, Jacksonville, FL 32216",FL,MIA,HEALTH,,
LAKCOFL,LAKE COUNTY JAIL,"551 W Main St, Tavares, FL 32778",FL,MIA,IGSA,,
LAKMCFL,LAKESIDE MEDICAL CENTER,"39200 Hooker Hwy, Belle Glade, FL 33430",FL,MIA,HEALTH,,
LRKBHFL,LARKIN BEHAVIORAL HEALTH SVCS,"1201 N 37th Ave, Hollywood, FL 33021",FL,MIA,HEALTH,,
LEVYCFL,LEVY COUNTY JAIL,"9150 NE 80th Ave, Bronson, FL 32621",FL,MIA,IGSA,,
MARIOFL,MARION COUNTY JAIL,"3290 NW 10th St, Ocala, FL 34475",FL,MIA,IGSA,,
MEMRHFL,MEMORIAL REGIONAL HOSP.,"3501 Johnson St, Hollywood, FL 33021",FL,MIA,HEALTH,,
MERCYFL,MERCY HOSPITAL,"3663 S Miami Ave, Miami, FL 33133",FL,MIA,HEALTH,,
OSCEOFL,OSCEOLA COUNTY JAIL,"402 Simpson Rd, Kissimmee, FL 34744",FL,MIA,IGSA,,
PUTMAFL,PUTNAM COUNTY JAIL,"130 Orie Griffin Blvd, Palatka, FL 32177",FL,MIA,IGSA,,
SROSAFL,SANTA ROSA COUNTY JAIL,"5755 E Milton Rd, Milton, FL 32583",FL,MIA,IGSA,,
SMNOLFL,SEMINOLE COUNTY JAIL,"211 Eslinger Way, Sanford, FL 32773",FL,MIA,IGSA,,
STJONFL,ST. JOHN'S COUNTY JAIL,"3955 Lewis Speedway, St. Augustine, FL 32084",FL,MIA,IGSA,,
SUMTEFL,SUMTER COUNTY JAIL,"219 E Anderson Ave, Bushnell, FL 33513",FL,MIA,IGSA,,
WKBHMFL,WEST KENDALL BAPTIST HOSP,"9555 SW 162nd Ave, Miami, FL 33196",FL,MIA,HEALTH,,
WMDBHFL,WEST MIAMI DADE BAPT HEALTH EMERG,"9555 SW 162nd Ave, Miami, FL 33196",FL,MIA,HEALTH,,"Multiple locations, ambiguous"
BOPATL,ATLANTA U.S. PEN.,"601 McDonough Blvd SE, Atlanta, GA 30315",GA,ATL,BOP,,
BARTOGA,BARTOW CO JAIL,"104 Zena Dr, Cartersville, GA 30121",GA,ATL,IGSA,,
GADRYJM,D. RAY JAMES PRISON,"3262 GA-252, Folkston, GA 31537",GA,ATL,DIGSA,GEO Group,
FIPCMGA,FOLKSTON MAIN IPC,"3026 Hwy 252 East, PO Box 248, Folkston, GA 31537",GA,ATL,,,
GMHATGA,GRADY MEMORIAL HOSPITAL,"80 Jesse Hill Jr Dr SE, Atlanta, GA 30303",GA,ATL,HEALTH,,
PHPMHGA,PHOEBE PUTNEY MEMORIAL HOSP,"417 W 3rd Ave, Albany, GA 31701",GA,ATL,HEALTH,,
PHOSMGA,PHOEBE SUMTER MED CTR,"126 US-280, Americus, GA 31719",GA,ATL,HEALTH,,
PCRMMGA,PIEDMOUNT COLUMBUS REG MIDTOWN MC,"710 Center St, Columbus, GA 31901",GA,ATL,HEALTH,,
STFRHGA,ST FRANCIS HOSPITAL,"2122 Manchester Expy, Columbus, GA 31904",GA,ATL,HEALTH,,
QUEMCHI,QUEEN'S MEDICAL CENTER,"1301 Punchbowl St, Honolulu, HI 96813",HI,SFO,HEALTH,,
UPSLHIA,UNITY POINT HLTH ST LUKES HOSP,"2720 Stone Park Blvd, Sioux City, IA 51104",IA,SPM,HEALTH,,
GOODCID,GOODING COUNTY JAIL,"624 Main St, Gooding, ID 83330",ID,CHI,IGSA,,
UHOSPIN,UNION HOSPITAL,"1606 N 7th St, Terre Haute, IN 47804",IN,CHI,HEALTH,,
GCPFCKS,GARDEN CITY PROCESSING @ FINNEY CO,"304 N 9th St, Garden City, KS 67846",KS,CHI,IGSA,,"Finney County Jail, KS"
LEXFCKY,LEXINGTON PROCESSING @ FAYETTE CO,"600 Old Frankfort Cir, Lexington, KY 40510",KY,CHI,IGSA,,
BIDHPMA,BETH ISRAEL DEACONESS HOSP,"275 Sandwich St, Plymouth, MA 02360",MA,BOS,HEALTH,,
LHMCBMA,LAHEY HOSPITAL & MED CTR,"41 Burlington Mall Road, Burlington, MA 01805",MA,BOS,HEALTH,,
PBDPDMA,PEABODY PD,"6 Allens Ln, Peabody, MA 01960",MA,BOS,POLICE DEPARTMENT,,
SSHSWMA,SOUTH SHORE HOSPITAL,"55 Fogg Rd, South Weymouth, MA 02190",MA,BOS,HEALTH,,
SALHOLD,SALISBURY HOLD ROOM,"119 W. Naylor Mill Road, Suite 11, Salisbury, MD 21801",MD,BAL,HOLD,,
BBCHPMI,BRONSON BATTLE CREEK HOSP,"300 North Ave, Battle Creek, MI 49017",MI,DET,HEALTH,,
BROHOMI,BRONSON METHODIST HOSPITAL,"601 John St, Kalamazoo, MI 49007",MI,DET,HEALTH,,
HNYHOMI,HENRY FORD HOSPITAL,"2799 W Grand Blvd, Detroit, MI 48202",MI,DET,HEALTH,,
