detention_facility_code,detention_facility,area_of_responsibility
AAORDMD,ORDNANCE ROAD CORRECTIONAL CENTER,Baltimore Area of Responsibility
ABQHOLD,ALBUQUERQUE HOLD ROOM,El Paso Area of Responsibility
ABRMCTX,ABILENE REGIONAL MED CTR,NA
ABRXSPA,ABRAXAS ACADEMY DETENTION CENTER,Philadelphia Area of Responsibility
ABTHOLD,ABILENE HOLD ROOM,NA
ADACOID,ADA COUNTY JAIL,NA
ADAIRKY,ADAIR COUNTY REGIONAL JAIL,Chicago Area of Responsibility
ADAMSMS,ADAMS COUNTY DET CENTER,New Orleans Area of Responsibility
ADAMSWA,ADAMS COUNTY,Seattle Area of Responsibility
ADDCOVT,ADDISON COUNTY JAIL,Boston Area of Responsibility
ADLNTCA,ADELANTO ICE PROCESSING CENTER,Los Angeles Area of Responsibility
ADVHBCA,ADVENTIST HEALTH BAKERSFIELD,San Francisco Area of Responsibility
AFRC,ARTESIA FAMILY RESIDENTIAL CENTER,NA
AGAHOLD,AGANA INS,San Francisco Area of Responsibility
AGC,AGUADILLA SPC,Miami Area of Responsibility
AGMDCCA,ANAHEIM GLOBAL MEDICAL CENTER,NA
AIRHOPR,"AIRPORT HOTEL, SAJ.",Miami Area of Responsibility
AKCOOKI,"COOK INLET PRETRIAL, ANCH",Seattle Area of Responsibility
AKFAIRB,FAIRBANKS CORR CTR,Seattle Area of Responsibility
AKGSCCC,GOOSE CREEK CORRECTIONAL CENTER,Seattle Area of Responsibility
AKHIGHL,HIGHLAND MTN COR CTR,Seattle Area of Responsibility
AKKETCH,KETCHIKAN REGIONAL CC,Seattle Area of Responsibility
AKLEMON,"LEMON CREEK, JUNEAU,AK",Seattle Area of Responsibility
AKPALMC,PALMER CORRECTIONAL CENTE,Seattle Area of Responsibility
AKPSYNJ,ANNE KLEIN PHSYCHIATRIC INSTITUTE,Newark Area of Responsibility
AKWILCC,WILDWOOD STATE CORR. CTR.,Seattle Area of Responsibility
AKWILPT,WILDWOOD PRE-TRIAL FAC.,Seattle Area of Responsibility
ALAMCNC,ALAMANCE CO. DET. FACILITY,Atlanta Area of Responsibility
ALAMOCO,ALAMOSA COUNTY JAIL,Denver Area of Responsibility
ALAMOTX,ALAMO POLICE DEPT.,Harlingen Area of Responsibility
ALBCONY,ALBANY COUNTY JAIL,New York City Area of Responsibility
ALBEMVA,ALBEMARLE-CHARLOTTESVILLE,Washington Area of Responsibility
ALBHOLD,ALBANY HOLDROOM,NA
ALESSAZ,STES ON SCOTTSDALE CASA DE ALEGRIA,NA
ALEXAAL,ALEXANDRIA CITY JAIL,New Orleans Area of Responsibility
ALEXAVA,ALEXANDRIA CITY JAIL,Washington Area of Responsibility
ALHAMCA,ALHAMBRA CITY JAIL,Los Angeles Area of Responsibility
ALLEGNY,ALLEGANY COUNTY JAIL,NA
ALLEGPA,ALLEGHENY CO. JAIL,Philadelphia Area of Responsibility
ALLENIN,ALLEN COUNTY JAIL,Chicago Area of Responsibility
ALMHOLD,ALAMOSA HOLDROOM,Denver Area of Responsibility
AMTHOLD,AMARILLO HOLD ROOM,Dallas Area of Responsibility
ANCHOAK,ANCHORAGE JAIL,Seattle Area of Responsibility
ANCHOLD,ANCHORAGE SUB-OFFICE HOLD ROOM,Seattle Area of Responsibility
ANDERSC,ANDERSON COUNTY DET CENTER,NA
ANDRWTX,ANDREWS SHERRIF'S OFFICE CO JAIL,El Paso Area of Responsibility
ANSGHTX,ANSON GENERAL HOSPITAL,Dallas Area of Responsibility
ANWHMMN,ABBOTT NORTHWESTERN HOSP,St. Paul Area of Responsibility
APACHAZ,APACHE CO. JAIL,Phoenix Area of Responsibility
APIBHCA,ALVARADO PARKWAY INSTITUTE,NA
APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,New Orleans Area of Responsibility
ARAPACO,ARAPAHOE COUNTY JAIL,Denver Area of Responsibility
ARLCOVA,ARLINGTON CO JAIL,Washington Area of Responsibility
AROOSME,AROOSTOOK COUNTY JAIL,Boston Area of Responsibility
ARRMCCA,ARROWHEAD REGIONAL MED CENTER,Los Angeles Area of Responsibility
ARTESNM,ARTESIA CITY JAIL,El Paso Area of Responsibility
ARTSINM,ARTESIA LAW ENFORCEMENT CENTER,El Paso Area of Responsibility
ASHECNC,ASHE COUNTY JAIL,NA
ASHRSFL,ATLANTIC SHORES HOSPITAL,Miami Area of Responsibility
ASWHRTX,ASCENSION SETON WILLIAMS HOSP,San Antonio Area of Responsibility
ATLANGA,ATLANTA PRETRIAL DETN CTR,Atlanta Area of Responsibility
ATLHOLD,ATLANTA DIST. HOLD RM,Atlanta Area of Responsibility
ATTHOLD,"ATHENS, TX HOLD ROOM",NA
AURORCO,AURORA CITY JAIL,Denver Area of Responsibility
AUSHOLD,AUSTIN DRO HOLD ROOM,San Antonio Area of Responsibility
AVPARLA,AVOYELLES PARISH PRISON,New Orleans Area of Responsibility
AZSPFLO,ARIZONA STATE PRISON COMP,Phoenix Area of Responsibility
AZSPPER,PERRYVILLE STATE PRISON,Phoenix Area of Responsibility
AZSVCPC,ARIZONA SERVICE PRISON COMPLEX,Phoenix Area of Responsibility
BAILECA,GEORGE BAILEY DETENT FACI,San Diego Area of Responsibility
BAKERFL,BAKER COUNTY SHERIFF DEPT.,Miami Area of Responsibility
BALDWAL,BALDWIN COUNTY COR. CENTER,New Orleans Area of Responsibility
BALHOLD,BALTIMORE HOLD ROOM,Baltimore Area of Responsibility
BARNSMA,BARNSTABLE COUNTY,Boston Area of Responsibility
BARRECA,BARRETT HONOR CAMP,Los Angeles Area of Responsibility
BARTOGA,BARTOW CO JAIL,Atlanta Area of Responsibility
BASILLA,SOUTH LOUISIANA ICE PROC CTR,New Orleans Area of Responsibility
BAYAMPR,BAYAMON HOSPITAL,Miami Area of Responsibility
BCORCPA,BERKS COUNTY RESIDENTIAL CENTER,Philadelphia Area of Responsibility
BEAVRPA,BEAVER COUNTY JAIL,NA
BEDCITX,BEDFORD CITY JAIL,Dallas Area of Responsibility
BEDFOOH,BEDFORD HEIGHTS CITY,NA
BEFAMPA,BERKS COUNTY FAMILY SHELTER,Philadelphia Area of Responsibility
BEHOSNY,"BELLEVUE HOSPITAL, MANHAT",New York City Area of Responsibility
BEJUVPA,BERKS CO. JUVENILE,Philadelphia Area of Responsibility
BELCOTX,BELL COUNTY JAIL,Houston Area of Responsibility
BELMOOH,BELMONT COUNTY JAIL,Detroit Area of Responsibility
BERGENJ,BERGEN COUNTY JAIL,New York City Area of Responsibility
BERKSPA,"BERKS COUNTY JAIL, PA",Philadelphia Area of Responsibility
BESECPA,BERKS COUNTY SECURED JUVENILE,Philadelphia Area of Responsibility
BFGHITX,"BYRD'S FOSTER GROUP HOME, INC",NA
BHCALCA,ALHAMBRA BHC HOSPITAL,Los Angeles Area of Responsibility
BHFLDMI,BRONSON HOSPITAL FIELDSTONE CENTER,Detroit Area of Responsibility
BHMHOLD,BIRMINGHAM HOLD ROOM,New Orleans Area of Responsibility
BIDHPMA,BETH ISRAEL DEACONESS HOSP,Boston Area of Responsibility
BILHOLD,BILLINGS HOLD ROOM,Salt Lake City Area of Responsibility
BIMDCAZ,BANNER IRONWOOD MED CTR,Phoenix Area of Responsibility
BKLHOLD,BAKERFIELD HOLD,San Francisco Area of Responsibility
BLBNATX,BLUEBONNET DET FCLTY,Dallas Area of Responsibility
BLHHOLD,BELLINGHAM BPS ERO HOLDROOM,NA
BMCSATX,BAPTIST MEDICAL CENTER,San Antonio Area of Responsibility
BNMCTAZ,BANNER MEDICAL CTR TUCSON,Phoenix Area of Responsibility
BOIHOLD,BOISE HOLD ROOM,NA
BONNEID,BONNEVILLE CO. JAIL,NA
BOONEKY,BOONE COUNTY JAIL,Chicago Area of Responsibility
BOPALM,ALLENWOOD (MED) FCI,Philadelphia Area of Responsibility
BOPBRO,BROOKLYN MDC,New York City Area of Responsibility
BOPCAA,USP CANAAN,Philadelphia Area of Responsibility
BOPCNV,NASHVILLE COMM. CORR.,New Orleans Area of Responsibility
BOPDAL,DALBY CORRECTIONAL INSTITUTE,Dallas Area of Responsibility
BOPFAI,FAIRTON FCI,Newark Area of Responsibility
BOPGIL,FCI GILMER,Philadelphia Area of Responsibility
BOPGUA,GUAYNABO MDC (SAN JUAN),Miami Area of Responsibility
BOPHON,HONOLULU FEDERAL DETENTION CENTER,San Francisco Area of Responsibility
BOPLEX,LEXINTON FED.MED CENTER,Chicago Area of Responsibility
BOPLOF,LOMPOC FCI,Los Angeles Area of Responsibility
BOPLOM,LOMPOC USP,Los Angeles Area of Responsibility
BOPLOS,LOS ANGELES MET.DET.CTR.,Los Angeles Area of Responsibility
