apprehension_criminality,month,apprehension_state,n
1 Convicted Criminal,2023-09-01,OREGON,3
1 Convicted Criminal,2023-09-01,WASHINGTON,27
1 Convicted Criminal,2023-09-01,NA,16
1 Convicted Criminal,2023-10-01,ALASKA,2
1 Convicted Criminal,2023-10-01,OREGON,4
1 Convicted Criminal,2023-10-01,WASHINGTON,25
1 Convicted Criminal,2023-10-01,NA,17
1 Convicted Criminal,2023-11-01,ALASKA,1
1 Convicted Criminal,2023-11-01,ARIZONA,1
1 Convicted Criminal,2023-11-01,OREGON,8
1 Convicted Criminal,2023-11-01,WASHINGTON,32
1 Convicted Criminal,2023-11-01,NA,11
1 Convicted Criminal,2023-12-01,ALASKA,2
1 Convicted Criminal,2023-12-01,OREGON,5
1 Convicted Criminal,2023-12-01,WASHINGTON,25
1 Convicted Criminal,2023-12-01,NA,11
1 Convicted Criminal,2024-01-01,OREGON,2
1 Convicted Criminal,2024-01-01,WASHINGTON,32
1 Convicted Criminal,2024-01-01,NA,20
1 Convicted Criminal,2024-02-01,ALASKA,3
1 Convicted Criminal,2024-02-01,OREGON,2
1 Convicted Criminal,2024-02-01,WASHINGTON,41
1 Convicted Criminal,2024-02-01,NA,19
1 Convicted Criminal,2024-03-01,ALASKA,1
1 Convicted Criminal,2024-03-01,OREGON,6
1 Convicted Criminal,2024-03-01,WASHINGTON,34
1 Convicted Criminal,2024-03-01,NA,12
1 Convicted Criminal,2024-04-01,OREGON,4
1 Convicted Criminal,2024-04-01,WASHINGTON,36
1 Convicted Criminal,2024-04-01,NA,20
1 Convicted Criminal,2024-05-01,ALASKA,1
1 Convicted Criminal,2024-05-01,OREGON,3
1 Convicted Criminal,2024-05-01,WASHINGTON,40
1 Convicted Criminal,2024-05-01,NA,20
1 Convicted Criminal,2024-06-01,ALASKA,2
1 Convicted Criminal,2024-06-01,OREGON,2
1 Convicted Criminal,2024-06-01,WASHINGTON,45
1 Convicted Criminal,2024-06-01,NA,3
1 Convicted Criminal,2024-07-01,ALASKA,2
1 Convicted Criminal,2024-07-01,OREGON,7
1 Convicted Criminal,2024-07-01,WASHINGTON,45
1 Convicted Criminal,2024-07-01,NA,16
1 Convicted Criminal,2024-08-01,ALASKA,1
1 Convicted Criminal,2024-08-01,OREGON,8
1 Convicted Criminal,2024-08-01,WASHINGTON,40
1 Convicted Criminal,2024-08-01,NA,13
1 Convicted Criminal,2024-09-01,ALASKA,1
1 Convicted Criminal,2024-09-01,OREGON,3
1 Convicted Criminal,2024-09-01,WASHINGTON,31
1 Convicted Criminal,2024-09-01,NA,12
1 Convicted Criminal,2024-10-01,ALASKA,2
1 Convicted Criminal,2024-10-01,OREGON,6
1 Convicted Criminal,2024-10-01,WASHINGTON,34
1 Convicted Criminal,2024-10-01,NA,6
1 Convicted Criminal,2024-11-01,ALASKA,1
1 Convicted Criminal,2024-11-01,OREGON,2
1 Convicted Criminal,2024-11-01,WASHINGTON,25
1 Convicted Criminal,2024-11-01,NA,12
1 Convicted Criminal,2024-12-01,OREGON,5
1 Convicted Criminal,2024-12-01,WASHINGTON,38
1 Convicted Criminal,2024-12-01,NA,12
1 Convicted Criminal,2025-01-01,ALASKA,3
1 Convicted Criminal,2025-01-01,OREGON,15
1 Convicted Criminal,2025-01-01,WASHINGTON,51
1 Convicted Criminal,2025-01-01,NA,15
1 Convicted Criminal,2025-02-01,ALASKA,3
1 Convicted Criminal,2025-02-01,OREGON,13
1 Convicted Criminal,2025-02-01,WASHINGTON,45
1 Convicted Criminal,2025-02-01,NA,26
1 Convicted Criminal,2025-03-01,ALASKA,2
1 Convicted Criminal,2025-03-01,IDAHO,1
1 Convicted Criminal,2025-03-01,OREGON,6
1 Convicted Criminal,2025-03-01,WASHINGTON,55
1 Convicted Criminal,2025-03-01,NA,18
1 Convicted Criminal,2025-04-01,ALASKA,3
1 Convicted Criminal,2025-04-01,OREGON,8
1 Convicted Criminal,2025-04-01,WASHINGTON,40
1 Convicted Criminal,2025-04-01,NA,27
1 Convicted Criminal,2025-05-01,ALASKA,2
1 Convicted Criminal,2025-05-01,OREGON,19
1 Convicted Criminal,2025-05-01,WASHINGTON,63
1 Convicted Criminal,2025-05-01,NA,24
1 Convicted Criminal,2025-06-01,ALASKA,2
1 Convicted Criminal,2025-06-01,IDAHO,2
1 Convicted Criminal,2025-06-01,OREGON,36
1 Convicted Criminal,2025-06-01,WASHINGTON,85
1 Convicted Criminal,2025-06-01,NA,20
1 Convicted Criminal,2025-07-01,ALASKA,1
1 Convicted Criminal,2025-07-01,IDAHO,1
1 Convicted Criminal,2025-07-01,OREGON,32
1 Convicted Criminal,2025-07-01,TEXAS,1
1 Convicted Criminal,2025-07-01,WASHINGTON,104
1 Convicted Criminal,2025-07-01,NA,1
1 Convicted Criminal,2025-08-01,ALASKA,3
1 Convicted Criminal,2025-08-01,OREGON,30
1 Convicted Criminal,2025-08-01,WASHINGTON,118
1 Convicted Criminal,2025-09-01,OREGON,29
1 Convicted Criminal,2025-09-01,WASHINGTON,91
2 Pending Criminal Charges,2023-09-01,WASHINGTON,1
2 Pending Criminal Charges,2023-09-01,NA,1
2 Pending Criminal Charges,2023-10-01,ALASKA,1
2 Pending Criminal Charges,2023-10-01,OREGON,1
2 Pending Criminal Charges,2023-10-01,WASHINGTON,1
2 Pending Criminal Charges,2023-10-01,NA,3
2 Pending Criminal Charges,2023-11-01,OREGON,1
2 Pending Criminal Charges,2023-11-01,NA,7
2 Pending Criminal Charges,2023-12-01,WASHINGTON,1
2 Pending Criminal Charges,2023-12-01,NA,6
2 Pending Criminal Charges,2024-01-01,WASHINGTON,4
2 Pending Criminal Charges,2024-01-01,NA,2
2 Pending Criminal Charges,2024-02-01,WASHINGTON,7
2 Pending Criminal Charges,2024-02-01,NA,4
2 Pending Criminal Charges,2024-03-01,WASHINGTON,7
2 Pending Criminal Charges,2024-03-01,NA,1
