detention_facility_code,detention_facility
ADVHBCA,ADVENTIST HEALTH BAKERSFIELD
ADVHDCA,ADVENTIST HEALTH DELANO
ANDERSC,ANDERSON COUNTY DET CENTER
ANSGHTX,ANSON GENERAL HOSPITAL
BOPATL,ATLANTA U.S. PEN.
BIMDCAZ,BANNER IRONWOOD MED CTR
BNMCTAZ,BANNER MEDICAL CTR TUCSON
BANHOAZ,BANNER UNIVERSITY MEDICAL PHOENIX
BMCSATX,BAPTIST MEDICAL CENTER
BARTOGA,BARTOW CO JAIL
CMDHOLD,BATAVIA COMMAND CENTER HOLDROOM
BSTAYTX,BAYLOR SCOTT WHITE MD CTR
BSWRRTX,BAYLOR SCOTT WHITE MED RR
BIDHPMA,BETH ISRAEL DEACONESS HOSP
BIINCCO,"BI INCORORATED, GEO GROUP COMPANY"
BLKREOK,BLACKWELL REGIONAL HOSPITAL
BLGHOLD,BOWLING GREEN HOLD ROOM
BRDFDFL,BRADFORD COUNTY JAIL
BBCHPMI,BRONSON BATTLE CREEK HOSP
BROHOMI,BRONSON METHODIST HOSPITAL
CCHRTTX,CEDAR CREST HOSP TREAT
CENTRVA,CENTRA HEALTH
CSSCHVA,CENTRA SOUTHSIDE COMM HOSP
CCRMHMN,CENTRACARE RICE MEMORIAL HOSP
CVANXCA,CENTRAL VALLEY ANNEX
CHMHOLD,CHAMPLAIN HOLD ROOM
CHANRAZ,CHANDLER REG MED CTR
FLCHACI,"CHARLOTTE CI, PUNTA GORDA"
CSLLFTX,CHI ST LUKE'S H M LUFKIN
CHISLTX,CHI ST LUKE'S HEALTH MEM
CHSRHTX,CHRISTUS SANTA ROSA HOSPITAL - MED
CIBOGNM,CIBOLA GENERAL HOSPITAL
CINHOLD,CINCINNATI HOLDROOM
COLUMFL,COLUMBIA COUNTY JAIL
CRMCFCA,COMMUNITY REG MED CENTER
CONHOTX,CONNALLY MEMORIAL MEDICAL CENTER
CRPHOLD,CORPUS CHRISTI EOR HOLD ROOM
CHMCINY,COURTHOUSE USM CNTL ISLIP
CCHAUTX,CROSS CREEK HOSPITAL
GADRYJM,D. RAY JAMES PRISON
CADESVI,DESERT VIEW ANNEX
DVHSPNV,DESERT VIEW HOSPITAL
DORCDSC,DORCHESTER CO DET CTR
DSMCNTX,DSMC - DEL SOL MEDICAL CENTER
DULHOLD,DULUTH HOLD ROOM
EDNBGTX,EDINBURG POLICE DEPT.
ECRMCCA,EL CENTRO REGIONAL MED CTR
EPCDFTX,EL PASO COUNTY DETENTION FACILITY
EPLTATX,EL PASO LTAC HOSPITAL
BOPPHL,FDC PHILADELPHIA
FDLHOLD,FERNDALE HOLD ROOM
FLGLRFL,FLAGLER COUNTY JAIL
FLORHAZ,FLORENCE HOSPITAL
FIPCMGA,FOLKSTON MAIN IPC
FNDDUWI,FOND DU LAC COUNTY SHERIFF/JAIL
FRIRHTX,FRIO REGIONAL HOSPITAL
FLBHCFL,FT LAUDERDALE BEHAVOR HLTH CTR
GCPFCKS,GARDEN CITY PROCESSING @ FINNEY CO
GSMCDPA,GEISINGER MEDICAL CENTER
GRGBVTX,GEORGETOWN BEHAVIORAL HOSPITAL
GLDSACA,GOLDEN STATE ANNEX
GOODCID,GOODING COUNTY JAIL
AKGSCCC,GOOSE CREEK CORRECTIONAL CENTER
GMHATGA,GRADY MEMORIAL HOSPITAL
NYGROVC,GROVELAND C.F. SONYEA
HCPSCMS,HANCOCK CO PUB SFTY CPLX
HAVMCWA,HARBORVIEW MEDICAL CENTER
